colour	order	level	x	y	piece	group
#132B43	2	2	-1.40816326530612	-0.0807823129251701	1	-1-001
#132B43	2	2	-1.41142290249433	-0.0612244897959187	1	-1-001
#132B43	2	2	-1.41142290249433	0.0612244897959182	1	-1-001
#132B43	2	2	-1.40816326530612	0.0807823129251698	1	-1-001
#132B43	2	2	-1.38945578231293	0.183673469387755	1	-1-001
#132B43	2	2	-1.34492888064317	0.306122448979592	1	-1-001
#132B43	2	2	-1.28571428571429	0.41468253968254	1	-1-001
#132B43	2	2	-1.27738095238095	0.428571428571428	1	-1-001
#132B43	2	2	-1.17942176870748	0.551020408163265	1	-1-001
#132B43	2	2	-1.16326530612245	0.567176870748299	1	-1-001
#132B43	2	2	-1.04516250944822	0.673469387755102	1	-1-001
#132B43	2	2	-1.04081632653061	0.676729024943311	1	-1-001
#132B43	2	2	-0.918367346938775	0.758361678004535	1	-1-001
#132B43	2	2	-0.853984450923227	0.795918367346939	1	-1-001
#132B43	2	2	-0.795918367346939	0.824951409135083	1	-1-001
#132B43	2	2	-0.673469387755102	0.87742954324587	1	-1-001
#132B43	2	2	-0.558843537414966	0.918367346938775	1	-1-001
#132B43	2	2	-0.551020408163265	0.920812074829932	1	-1-001
#132B43	2	2	-0.428571428571429	0.951424319727891	1	-1-001
#132B43	2	2	-0.306122448979592	0.974383503401361	1	-1-001
#132B43	2	2	-0.183673469387755	0.98968962585034	1	-1-001
#132B43	2	2	-0.0612244897959187	0.99734268707483	1	-1-001
#132B43	2	2	0.0612244897959182	0.99734268707483	1	-1-001
#132B43	2	2	0.183673469387755	0.98968962585034	1	-1-001
#132B43	2	2	0.306122448979592	0.974383503401361	1	-1-001
#132B43	2	2	0.428571428571428	0.951424319727891	1	-1-001
#132B43	2	2	0.551020408163265	0.920812074829932	1	-1-001
#132B43	2	2	0.558843537414966	0.918367346938775	1	-1-001
#132B43	2	2	0.673469387755102	0.87742954324587	1	-1-001
#132B43	2	2	0.795918367346939	0.824951409135083	1	-1-001
#132B43	2	2	0.853984450923227	0.795918367346939	1	-1-001
#132B43	2	2	0.918367346938775	0.758361678004535	1	-1-001
#132B43	2	2	1.04081632653061	0.676729024943311	1	-1-001
#132B43	2	2	1.04516250944822	0.673469387755102	1	-1-001
#132B43	2	2	1.16326530612245	0.567176870748299	1	-1-001
#132B43	2	2	1.17942176870748	0.551020408163265	1	-1-001
#132B43	2	2	1.27738095238095	0.428571428571428	1	-1-001
#132B43	2	2	1.28571428571429	0.41468253968254	1	-1-001
#132B43	2	2	1.34492888064317	0.306122448979592	1	-1-001
#132B43	2	2	1.38945578231293	0.183673469387755	1	-1-001
#132B43	2	2	1.40816326530612	0.0807823129251725	1	-1-001
#132B43	2	2	1.41142290249433	0.0612244897959182	1	-1-001
#132B43	2	2	1.41142290249433	-0.0612244897959187	1	-1-001
#132B43	2	2	1.40816326530612	-0.0807823129251729	1	-1-001
#132B43	2	2	1.38945578231293	-0.183673469387755	1	-1-001
#132B43	2	2	1.34492888064317	-0.306122448979592	1	-1-001
#132B43	2	2	1.28571428571429	-0.41468253968254	1	-1-001
#132B43	2	2	1.27738095238095	-0.428571428571429	1	-1-001
#132B43	2	2	1.17942176870748	-0.551020408163265	1	-1-001
#132B43	2	2	1.16326530612245	-0.567176870748299	1	-1-001
#132B43	2	2	1.04516250944822	-0.673469387755102	1	-1-001
#132B43	2	2	1.04081632653061	-0.676729024943311	1	-1-001
#132B43	2	2	0.918367346938775	-0.758361678004535	1	-1-001
#132B43	2	2	0.853984450923226	-0.795918367346939	1	-1-001
#132B43	2	2	0.795918367346939	-0.824951409135083	1	-1-001
#132B43	2	2	0.673469387755102	-0.87742954324587	1	-1-001
#132B43	2	2	0.558843537414966	-0.918367346938775	1	-1-001
#132B43	2	2	0.551020408163265	-0.920812074829932	1	-1-001
#132B43	2	2	0.428571428571428	-0.951424319727891	1	-1-001
#132B43	2	2	0.306122448979592	-0.974383503401361	1	-1-001
#132B43	2	2	0.183673469387755	-0.98968962585034	1	-1-001
#132B43	2	2	0.0612244897959182	-0.99734268707483	1	-1-001
#132B43	2	2	-0.0612244897959187	-0.99734268707483	1	-1-001
#132B43	2	2	-0.183673469387755	-0.98968962585034	1	-1-001
#132B43	2	2	-0.306122448979592	-0.974383503401361	1	-1-001
#132B43	2	2	-0.428571428571429	-0.951424319727891	1	-1-001
#132B43	2	2	-0.551020408163265	-0.920812074829932	1	-1-001
#132B43	2	2	-0.558843537414966	-0.918367346938775	1	-1-001
#132B43	2	2	-0.673469387755102	-0.87742954324587	1	-1-001
#132B43	2	2	-0.795918367346939	-0.824951409135083	1	-1-001
#132B43	2	2	-0.853984450923226	-0.795918367346939	1	-1-001
#132B43	2	2	-0.918367346938775	-0.758361678004535	1	-1-001
#132B43	2	2	-1.04081632653061	-0.676729024943311	1	-1-001
#132B43	2	2	-1.04516250944822	-0.673469387755102	1	-1-001
#132B43	2	2	-1.16326530612245	-0.567176870748299	1	-1-001
#132B43	2	2	-1.17942176870748	-0.551020408163265	1	-1-001
#132B43	2	2	-1.27738095238095	-0.428571428571429	1	-1-001
#132B43	2	2	-1.28571428571429	-0.414682539682539	1	-1-001
#132B43	2	2	-1.34492888064317	-0.306122448979592	1	-1-001
#132B43	2	2	-1.38945578231293	-0.183673469387755	1	-1-001
#132B43	2	2	-1.40816326530612	-0.0807823129251701	1	-1-001
#183550	4	4	-1.89795918367347	-0.444090136054422	2	-1-002
#183550	4	4	-1.90571853741497	-0.428571428571429	2	-1-002
#183550	4	4	-1.9516369047619	-0.306122448979592	2	-1-002
#183550	4	4	-1.98224914965986	-0.183673469387755	2	-1-002
#183550	4	4	-1.99755527210884	-0.0612244897959187	2	-1-002
#183550	4	4	-1.99755527210884	0.0612244897959182	2	-1-002
#183550	4	4	-1.98224914965986	0.183673469387755	2	-1-002
#183550	4	4	-1.9516369047619	0.306122448979592	2	-1-002
#183550	4	4	-1.90571853741497	0.428571428571428	2	-1-002
#183550	4	4	-1.89795918367347	0.444090136054422	2	-1-002
#183550	4	4	-1.84092970521542	0.551020408163265	2	-1-002
#183550	4	4	-1.77551020408163	0.649149659863946	2	-1-002
#183550	4	4	-1.75813896987366	0.673469387755102	2	-1-002
#183550	4	4	-1.65318270165209	0.795918367346939	2	-1-002
#183550	4	4	-1.6530612244898	0.796039844509232	2	-1-002
#183550	4	4	-1.53061224489796	0.909742468415938	2	-1-002
#183550	4	4	-1.52054988662132	0.918367346938775	2	-1-002
#183550	4	4	-1.40816326530612	1.00265731292517	2	-1-002
#183550	4	4	-1.35265924551639	1.04081632653061	2	-1-002
#183550	4	4	-1.28571428571429	1.08172713529856	2	-1-002
#183550	4	4	-1.16326530612245	1.14975434618292	2	-1-002
#183550	4	4	-1.13624338624339	1.16326530612245	2	-1-002
#183550	4	4	-1.04081632653061	1.2062074829932	2	-1-002
#183550	4	4	-0.918367346938775	1.25518707482993	2	-1-002
#183550	4	4	-0.831146744412051	1.28571428571429	2	-1-002
#183550	4	4	-0.795918367346939	1.29692331478046	2	-1-002
#183550	4	4	-0.673469387755102	1.33031849103278	2	-1-002
#183550	4	4	-0.551020408163265	1.35814780457638	2	-1-002
#183550	4	4	-0.428571428571429	1.38041125541126	2	-1-002
#183550	4	4	-0.306122448979592	1.39710884353742	2	-1-002
#183550	4	4	-0.184523809523815	1.40816326530612	2	-1-002
#183550	4	4	-0.183673469387755	1.40823412698413	2	-1-002
#183550	4	4	-0.0612244897959187	1.41333616780045	2	-1-002
#183550	4	4	0.0612244897959182	1.41333616780045	2	-1-002
#183550	4	4	0.183673469387755	1.40823412698413	2	-1-002
#183550	4	4	0.184523809523815	1.40816326530612	2	-1-002
#183550	4	4	0.306122448979592	1.39710884353742	2	-1-002
#183550	4	4	0.428571428571428	1.38041125541126	2	-1-002
#183550	4	4	0.551020408163265	1.35814780457638	2	-1-002
#183550	4	4	0.673469387755102	1.33031849103278	2	-1-002
#183550	4	4	0.795918367346939	1.29692331478046	2	-1-002
#183550	4	4	0.831146744412051	1.28571428571429	2	-1-002
#183550	4	4	0.918367346938775	1.25518707482993	2	-1-002
#183550	4	4	1.04081632653061	1.2062074829932	2	-1-002
#183550	4	4	1.13624338624339	1.16326530612245	2	-1-002
#183550	4	4	1.16326530612245	1.14975434618292	2	-1-002
#183550	4	4	1.28571428571429	1.08172713529856	2	-1-002
#183550	4	4	1.35265924551639	1.04081632653061	2	-1-002
#183550	4	4	1.40816326530612	1.00265731292517	2	-1-002
#183550	4	4	1.52054988662132	0.918367346938775	2	-1-002
#183550	4	4	1.53061224489796	0.909742468415938	2	-1-002
#183550	4	4	1.6530612244898	0.796039844509233	2	-1-002
#183550	4	4	1.65318270165209	0.795918367346939	2	-1-002
#183550	4	4	1.75813896987366	0.673469387755102	2	-1-002
#183550	4	4	1.77551020408163	0.649149659863946	2	-1-002
#183550	4	4	1.84092970521542	0.551020408163265	2	-1-002
#183550	4	4	1.89795918367347	0.444090136054422	2	-1-002
#183550	4	4	1.90571853741497	0.428571428571428	2	-1-002
#183550	4	4	1.9516369047619	0.306122448979592	2	-1-002
#183550	4	4	1.98224914965986	0.183673469387755	2	-1-002
#183550	4	4	1.99755527210884	0.0612244897959182	2	-1-002
#183550	4	4	1.99755527210884	-0.0612244897959187	2	-1-002
#183550	4	4	1.98224914965986	-0.183673469387755	2	-1-002
#183550	4	4	1.9516369047619	-0.306122448979592	2	-1-002
#183550	4	4	1.90571853741497	-0.428571428571429	2	-1-002
#183550	4	4	1.89795918367347	-0.444090136054422	2	-1-002
#183550	4	4	1.84092970521542	-0.551020408163265	2	-1-002
#183550	4	4	1.77551020408163	-0.649149659863946	2	-1-002
#183550	4	4	1.75813896987366	-0.673469387755102	2	-1-002
#183550	4	4	1.65318270165209	-0.795918367346939	2	-1-002
#183550	4	4	1.6530612244898	-0.796039844509233	2	-1-002
#183550	4	4	1.53061224489796	-0.909742468415938	2	-1-002
#183550	4	4	1.52054988662132	-0.918367346938775	2	-1-002
#183550	4	4	1.40816326530612	-1.00265731292517	2	-1-002
#183550	4	4	1.35265924551639	-1.04081632653061	2	-1-002
#183550	4	4	1.28571428571429	-1.08172713529856	2	-1-002
#183550	4	4	1.16326530612245	-1.14975434618292	2	-1-002
#183550	4	4	1.13624338624339	-1.16326530612245	2	-1-002
#183550	4	4	1.04081632653061	-1.2062074829932	2	-1-002
#183550	4	4	0.918367346938775	-1.25518707482993	2	-1-002
#183550	4	4	0.83114674441205	-1.28571428571429	2	-1-002
#183550	4	4	0.795918367346939	-1.29692331478046	2	-1-002
#183550	4	4	0.673469387755102	-1.33031849103278	2	-1-002
#183550	4	4	0.551020408163265	-1.35814780457638	2	-1-002
#183550	4	4	0.428571428571428	-1.38041125541126	2	-1-002
#183550	4	4	0.306122448979592	-1.39710884353741	2	-1-002
#183550	4	4	0.18452380952381	-1.40816326530612	2	-1-002
#183550	4	4	0.183673469387755	-1.40823412698413	2	-1-002
#183550	4	4	0.0612244897959182	-1.41333616780045	2	-1-002
#183550	4	4	-0.0612244897959187	-1.41333616780045	2	-1-002
#183550	4	4	-0.183673469387755	-1.40823412698413	2	-1-002
#183550	4	4	-0.18452380952381	-1.40816326530612	2	-1-002
#183550	4	4	-0.306122448979592	-1.39710884353741	2	-1-002
#183550	4	4	-0.428571428571429	-1.38041125541126	2	-1-002
#183550	4	4	-0.551020408163265	-1.35814780457638	2	-1-002
#183550	4	4	-0.673469387755102	-1.33031849103278	2	-1-002
#183550	4	4	-0.795918367346939	-1.29692331478046	2	-1-002
#183550	4	4	-0.83114674441205	-1.28571428571429	2	-1-002
#183550	4	4	-0.918367346938775	-1.25518707482993	2	-1-002
#183550	4	4	-1.04081632653061	-1.2062074829932	2	-1-002
#183550	4	4	-1.13624338624339	-1.16326530612245	2	-1-002
#183550	4	4	-1.16326530612245	-1.14975434618292	2	-1-002
#183550	4	4	-1.28571428571429	-1.08172713529856	2	-1-002
#183550	4	4	-1.35265924551639	-1.04081632653061	2	-1-002
#183550	4	4	-1.40816326530612	-1.00265731292517	2	-1-002
#183550	4	4	-1.52054988662132	-0.918367346938775	2	-1-002
#183550	4	4	-1.53061224489796	-0.909742468415938	2	-1-002
#183550	4	4	-1.6530612244898	-0.796039844509232	2	-1-002
#183550	4	4	-1.65318270165209	-0.795918367346939	2	-1-002
#183550	4	4	-1.75813896987366	-0.673469387755102	2	-1-002
#183550	4	4	-1.77551020408163	-0.649149659863946	2	-1-002
#183550	4	4	-1.84092970521542	-0.551020408163265	2	-1-002
#183550	4	4	-1.89795918367347	-0.444090136054422	2	-1-002
#1D3F5E	6	6	-2.38775510204082	-0.381802721088436	3	-1-003
#1D3F5E	6	6	-2.41045918367347	-0.306122448979592	3	-1-003
#1D3F5E	6	6	-2.43494897959184	-0.183673469387755	3	-1-003
#1D3F5E	6	6	-2.44719387755102	-0.0612244897959187	3	-1-003
#1D3F5E	6	6	-2.44719387755102	0.0612244897959182	3	-1-003
#1D3F5E	6	6	-2.43494897959184	0.183673469387755	3	-1-003
#1D3F5E	6	6	-2.41045918367347	0.306122448979592	3	-1-003
#1D3F5E	6	6	-2.38775510204082	0.381802721088436	3	-1-003
#1D3F5E	6	6	-2.37298603651987	0.428571428571428	3	-1-003
#1D3F5E	6	6	-2.32142857142857	0.551020408163265	3	-1-003
#1D3F5E	6	6	-2.26530612244898	0.65765306122449	3	-1-003
#1D3F5E	6	6	-2.25651927437642	0.673469387755102	3	-1-003
#1D3F5E	6	6	-2.17488662131519	0.795918367346939	3	-1-003
#1D3F5E	6	6	-2.14285714285714	0.837099125364432	3	-1-003
#1D3F5E	6	6	-2.07593037214886	0.918367346938775	3	-1-003
#1D3F5E	6	6	-2.02040816326531	0.977359693877551	3	-1-003
#1D3F5E	6	6	-1.95695153061225	1.04081632653061	3	-1-003
#1D3F5E	6	6	-1.89795918367347	1.09325396825397	3	-1-003
#1D3F5E	6	6	-1.81394557823129	1.16326530612245	3	-1-003
#1D3F5E	6	6	-1.77551020408163	1.19209183673469	3	-1-003
#1D3F5E	6	6	-1.6530612244898	1.27780612244898	3	-1-003
#1D3F5E	6	6	-1.64089481946625	1.28571428571429	3	-1-003
#1D3F5E	6	6	-1.53061224489796	1.35088126159555	3	-1-003
#1D3F5E	6	6	-1.42559523809524	1.40816326530612	3	-1-003
#1D3F5E	6	6	-1.40816326530612	1.41687925170068	3	-1-003
#1D3F5E	6	6	-1.28571428571429	1.47300170068027	3	-1-003
#1D3F5E	6	6	-1.16326530612245	1.52402210884354	3	-1-003
#1D3F5E	6	6	-1.14569160997732	1.53061224489796	3	-1-003
#1D3F5E	6	6	-1.04081632653061	1.56691522762951	3	-1-003
#1D3F5E	6	6	-0.918367346938775	1.60459183673469	3	-1-003
#1D3F5E	6	6	-0.795918367346939	1.63755886970173	3	-1-003
#1D3F5E	6	6	-0.72874149659864	1.6530612244898	3	-1-003
#1D3F5E	6	6	-0.673469387755102	1.66490524781341	3	-1-003
#1D3F5E	6	6	-0.551020408163265	1.68677113702624	3	-1-003
#1D3F5E	6	6	-0.428571428571429	1.7042638483965	3	-1-003
#1D3F5E	6	6	-0.306122448979592	1.7173833819242	3	-1-003
#1D3F5E	6	6	-0.183673469387755	1.72612973760933	3	-1-003
#1D3F5E	6	6	-0.0612244897959187	1.7305029154519	3	-1-003
#1D3F5E	6	6	0.0612244897959182	1.7305029154519	3	-1-003
#1D3F5E	6	6	0.183673469387755	1.72612973760933	3	-1-003
#1D3F5E	6	6	0.306122448979592	1.7173833819242	3	-1-003
#1D3F5E	6	6	0.428571428571428	1.7042638483965	3	-1-003
#1D3F5E	6	6	0.551020408163265	1.68677113702624	3	-1-003
#1D3F5E	6	6	0.673469387755102	1.66490524781341	3	-1-003
#1D3F5E	6	6	0.72874149659864	1.6530612244898	3	-1-003
#1D3F5E	6	6	0.795918367346939	1.63755886970173	3	-1-003
#1D3F5E	6	6	0.918367346938775	1.60459183673469	3	-1-003
#1D3F5E	6	6	1.04081632653061	1.56691522762951	3	-1-003
#1D3F5E	6	6	1.14569160997732	1.53061224489796	3	-1-003
#1D3F5E	6	6	1.16326530612245	1.52402210884354	3	-1-003
#1D3F5E	6	6	1.28571428571429	1.47300170068027	3	-1-003
#1D3F5E	6	6	1.40816326530612	1.41687925170068	3	-1-003
#1D3F5E	6	6	1.42559523809524	1.40816326530612	3	-1-003
#1D3F5E	6	6	1.53061224489796	1.35088126159555	3	-1-003
#1D3F5E	6	6	1.64089481946625	1.28571428571429	3	-1-003
#1D3F5E	6	6	1.6530612244898	1.27780612244898	3	-1-003
#1D3F5E	6	6	1.77551020408163	1.19209183673469	3	-1-003
#1D3F5E	6	6	1.81394557823129	1.16326530612245	3	-1-003
#1D3F5E	6	6	1.89795918367347	1.09325396825397	3	-1-003
#1D3F5E	6	6	1.95695153061225	1.04081632653061	3	-1-003
#1D3F5E	6	6	2.02040816326531	0.977359693877551	3	-1-003
#1D3F5E	6	6	2.07593037214886	0.918367346938775	3	-1-003
#1D3F5E	6	6	2.14285714285714	0.837099125364432	3	-1-003
#1D3F5E	6	6	2.17488662131519	0.795918367346939	3	-1-003
#1D3F5E	6	6	2.25651927437642	0.673469387755102	3	-1-003
#1D3F5E	6	6	2.26530612244898	0.65765306122449	3	-1-003
#1D3F5E	6	6	2.32142857142857	0.551020408163265	3	-1-003
#1D3F5E	6	6	2.37298603651987	0.428571428571428	3	-1-003
#1D3F5E	6	6	2.38775510204082	0.381802721088436	3	-1-003
#1D3F5E	6	6	2.41045918367347	0.306122448979592	3	-1-003
#1D3F5E	6	6	2.43494897959184	0.183673469387755	3	-1-003
#1D3F5E	6	6	2.44719387755102	0.0612244897959182	3	-1-003
#1D3F5E	6	6	2.44719387755102	-0.0612244897959187	3	-1-003
#1D3F5E	6	6	2.43494897959184	-0.183673469387755	3	-1-003
#1D3F5E	6	6	2.41045918367347	-0.306122448979592	3	-1-003
#1D3F5E	6	6	2.38775510204082	-0.381802721088436	3	-1-003
#1D3F5E	6	6	2.37298603651987	-0.428571428571429	3	-1-003
#1D3F5E	6	6	2.32142857142857	-0.551020408163265	3	-1-003
#1D3F5E	6	6	2.26530612244898	-0.65765306122449	3	-1-003
#1D3F5E	6	6	2.25651927437642	-0.673469387755102	3	-1-003
#1D3F5E	6	6	2.17488662131519	-0.795918367346939	3	-1-003
#1D3F5E	6	6	2.14285714285714	-0.837099125364432	3	-1-003
#1D3F5E	6	6	2.07593037214886	-0.918367346938775	3	-1-003
#1D3F5E	6	6	2.02040816326531	-0.977359693877551	3	-1-003
#1D3F5E	6	6	1.95695153061224	-1.04081632653061	3	-1-003
#1D3F5E	6	6	1.89795918367347	-1.09325396825397	3	-1-003
#1D3F5E	6	6	1.81394557823129	-1.16326530612245	3	-1-003
#1D3F5E	6	6	1.77551020408163	-1.19209183673469	3	-1-003
#1D3F5E	6	6	1.6530612244898	-1.27780612244898	3	-1-003
#1D3F5E	6	6	1.64089481946625	-1.28571428571429	3	-1-003
#1D3F5E	6	6	1.53061224489796	-1.35088126159555	3	-1-003
#1D3F5E	6	6	1.42559523809524	-1.40816326530612	3	-1-003
#1D3F5E	6	6	1.40816326530612	-1.41687925170068	3	-1-003
#1D3F5E	6	6	1.28571428571429	-1.47300170068027	3	-1-003
#1D3F5E	6	6	1.16326530612245	-1.52402210884354	3	-1-003
#1D3F5E	6	6	1.14569160997732	-1.53061224489796	3	-1-003
#1D3F5E	6	6	1.04081632653061	-1.56691522762951	3	-1-003
#1D3F5E	6	6	0.918367346938775	-1.60459183673469	3	-1-003
#1D3F5E	6	6	0.795918367346939	-1.63755886970173	3	-1-003
#1D3F5E	6	6	0.728741496598639	-1.6530612244898	3	-1-003
#1D3F5E	6	6	0.673469387755102	-1.66490524781341	3	-1-003
#1D3F5E	6	6	0.551020408163265	-1.68677113702624	3	-1-003
#1D3F5E	6	6	0.428571428571428	-1.7042638483965	3	-1-003
#1D3F5E	6	6	0.306122448979592	-1.7173833819242	3	-1-003
#1D3F5E	6	6	0.183673469387755	-1.72612973760933	3	-1-003
#1D3F5E	6	6	0.0612244897959182	-1.7305029154519	3	-1-003
#1D3F5E	6	6	-0.0612244897959187	-1.7305029154519	3	-1-003
#1D3F5E	6	6	-0.183673469387755	-1.72612973760933	3	-1-003
#1D3F5E	6	6	-0.306122448979592	-1.7173833819242	3	-1-003
#1D3F5E	6	6	-0.428571428571429	-1.7042638483965	3	-1-003
#1D3F5E	6	6	-0.551020408163265	-1.68677113702624	3	-1-003
#1D3F5E	6	6	-0.673469387755102	-1.66490524781341	3	-1-003
#1D3F5E	6	6	-0.728741496598639	-1.6530612244898	3	-1-003
#1D3F5E	6	6	-0.795918367346939	-1.63755886970173	3	-1-003
#1D3F5E	6	6	-0.918367346938775	-1.60459183673469	3	-1-003
#1D3F5E	6	6	-1.04081632653061	-1.56691522762951	3	-1-003
#1D3F5E	6	6	-1.14569160997732	-1.53061224489796	3	-1-003
#1D3F5E	6	6	-1.16326530612245	-1.52402210884354	3	-1-003
#1D3F5E	6	6	-1.28571428571429	-1.47300170068027	3	-1-003
#1D3F5E	6	6	-1.40816326530612	-1.41687925170068	3	-1-003
#1D3F5E	6	6	-1.42559523809524	-1.40816326530612	3	-1-003
#1D3F5E	6	6	-1.53061224489796	-1.35088126159555	3	-1-003
#1D3F5E	6	6	-1.64089481946625	-1.28571428571429	3	-1-003
#1D3F5E	6	6	-1.6530612244898	-1.27780612244898	3	-1-003
#1D3F5E	6	6	-1.77551020408163	-1.19209183673469	3	-1-003
#1D3F5E	6	6	-1.81394557823129	-1.16326530612245	3	-1-003
#1D3F5E	6	6	-1.89795918367347	-1.09325396825397	3	-1-003
#1D3F5E	6	6	-1.95695153061224	-1.04081632653061	3	-1-003
#1D3F5E	6	6	-2.02040816326531	-0.977359693877551	3	-1-003
#1D3F5E	6	6	-2.07593037214886	-0.918367346938775	3	-1-003
#1D3F5E	6	6	-2.14285714285714	-0.837099125364432	3	-1-003
#1D3F5E	6	6	-2.17488662131519	-0.795918367346939	3	-1-003
#1D3F5E	6	6	-2.25651927437642	-0.673469387755102	3	-1-003
#1D3F5E	6	6	-2.26530612244898	-0.65765306122449	3	-1-003
#1D3F5E	6	6	-2.32142857142857	-0.551020408163265	3	-1-003
#1D3F5E	6	6	-2.37298603651987	-0.428571428571429	3	-1-003
#1D3F5E	6	6	-2.38775510204082	-0.381802721088436	3	-1-003
#22496C	8	8	-2.75510204081633	-0.450042517006802	4	-1-004
#22496C	8	8	-2.7625702454895	-0.428571428571429	4	-1-004
#22496C	8	8	-2.79451345755694	-0.306122448979592	4	-1-004
#22496C	8	8	-2.81580893226856	-0.183673469387755	4	-1-004
#22496C	8	8	-2.82645666962437	-0.0612244897959187	4	-1-004
#22496C	8	8	-2.82645666962437	0.0612244897959182	4	-1-004
#22496C	8	8	-2.81580893226856	0.183673469387755	4	-1-004
